question_id,global_agent_index,iteration,agent_index,agent_role,choice_A_prob,choice_B_prob,choice_C_prob,variance,entropy,gini,uniform_kl
0,1,1,1,You are an excellent judge with strong critical thinking skills,0.7,0.3,0.0,0.08222222222222221,0.8812908992306927,0.4666666666666666,0.6931542093490934
0,2,1,2,You are a knowledgeable and caring doctor,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,3,1,3,You are a practical engineer,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,4,1,4,You are a precise lawyer,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,5,1,5,You are a clever merchant,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,6,1,6,You are a talented summarizer with excellent synthesis abilities,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,7,2,1,You are an excellent judge with strong critical thinking skills,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,8,2,2,You are a knowledgeable and caring doctor,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,9,2,3,You are a practical engineer,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,10,2,4,You are a precise lawyer,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,11,2,5,You are a clever merchant,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
0,12,2,6,You are a talented summarizer with excellent synthesis abilities,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,13,3,1,You are an excellent judge with strong critical thinking skills,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,14,3,2,You are a knowledgeable and caring doctor,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,15,3,3,You are a practical engineer,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,16,3,4,You are a precise lawyer,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,17,3,5,You are a clever merchant,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,18,3,6,You are a talented summarizer with excellent synthesis abilities,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,19,4,1,You are an excellent judge with strong critical thinking skills,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,20,4,2,You are a knowledgeable and caring doctor,0.7,0.3,0.0,0.08222222222222221,0.8812908992306927,0.4666666666666666,0.6931542093490934
0,21,4,3,You are a practical engineer,0.7,0.3,0.0,0.08222222222222221,0.8812908992306927,0.4666666666666666,0.6931542093490934
0,22,4,4,You are a precise lawyer,0.7,0.3,0.0,0.08222222222222221,0.8812908992306927,0.4666666666666666,0.6931542093490934
0,23,4,5,You are a clever merchant,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
0,24,4,6,You are a talented summarizer with excellent synthesis abilities,0.8,0.2,0.0,0.11555555555555558,0.7219280948873623,0.5333333333333333,0.8523578100916813
1,1,1,1,You are an excellent judge with strong critical thinking skills,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,2,1,2,You are a knowledgeable and caring doctor,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,3,1,3,You are a practical engineer,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,4,1,4,You are a precise lawyer,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,5,1,5,You are a clever merchant,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,6,1,6,You are a talented summarizer with excellent synthesis abilities,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,7,2,1,You are an excellent judge with strong critical thinking skills,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,8,2,2,You are a knowledgeable and caring doctor,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,9,2,3,You are a practical engineer,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,10,2,4,You are a precise lawyer,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,11,2,5,You are a clever merchant,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,12,2,6,You are a talented summarizer with excellent synthesis abilities,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,13,3,1,You are an excellent judge with strong critical thinking skills,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,14,3,2,You are a knowledgeable and caring doctor,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,15,3,3,You are a practical engineer,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,16,3,4,You are a precise lawyer,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,17,3,5,You are a clever merchant,0.6,0.3,0.1,0.04222222222222222,1.295461844238322,0.3333333333333333,0.28950065648283463
1,18,3,6,You are a talented summarizer with excellent synthesis abilities,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
1,19,4,1,You are an excellent judge with strong critical thinking skills,0.7,0.2,0.1,0.06888888888888887,1.1567796494470395,0.4000000000000001,0.4281828512741171
